Name,Alt_Name,Acronym,Country_Area,Latitude,Longitude
"Chicozapote, El",,CZP,"Mexiko, Chiapas (MX-CHP)",16.95522,-91.11824
"Chilonche, El",Chilonche,CHT,"Guatemala, PetÈn (GT-PE)",16.813609,-89.560915
"Chorro, El",San Lucas = El Pato = La Armenia,CRO,"Guatemala, PetÈn (GT-PE)",16.642167,-90.574333
"Encanto, El",,ENC,"Guatemala, PetÈn (GT-PE)",17.273611,-89.562778
"Excavado, El",,EXC,"Guatemala, PetÈn (GT-PE)",16.425734,-90.227732
"Gallinero, El",,GAL," Mexiko, Campeche (MX-CAM)",17.827556,-89.48325
"Mameyal, El",,MAM," Mexiko, Campeche (MX-CAM)",17.981667,-89.266667
"Manantial, El",Corosal = Corozal = El Tablero = Ch'anal,MAN,"Guatemala, PetÈn (GT-PE)",17.69057,-89.43583
"Meco, El",,MEC," Mexiko, Quintana Roo (MX-ROO)",21.211155,-86.803912
"Mirador, El",,MRD,"Guatemala, PetÈn (GT-PE)",17.756111,-89.92088
"Pabell√≥n, El",,PAB,"Mexiko, Chiapas (MX-CHP)",16.472121,-90.57001
"Palmar, El",,PLM," Mexiko, Campeche (MX-CAM)",18.077787,-89.337349
"Peru, El",Waka',PRU,"Guatemala, PetÈn (GT-PE)",17.26606,-90.35578
"Port√≥n, El",,PRT,"Guatemala, Baja Verapaz (GT-BV)",15.04745,-90.26079
"Porvenir, El",,PVR,"Mexiko, Chiapas (MX-CHP)",17.455145,-92.328758
"Puente, El",,PUT,"Honduras, Cop·n (HN-CP)",15.110079,-88.791041
"Reinado, El",Ni'tuunal,,"Guatemala, PetÈn (GT-PE)",16.844444,-90.449167
"Resbalon, El",,RSB," Mexiko, Quintana Roo (MX-ROO)",18.771389,-88.786667
"Retiro, El",,RTR,"Mexiko, Chiapas (MX-CHP)",17.523793,-92.261839
"Rey, El",,REY," Mexiko, Quintana Roo (MX-ROO)",21.061616,-86.7813
"Rosal, El",,RSL," Mexiko, Campeche (MX-CAM)",20.147173,-90.105057
"Tabasque√±o, El",,TBS," Mexiko, Campeche (MX-CAM)",19.49917,-89.78472
"Temblor, El",,TMB,"Guatemala, PetÈn (GT-PE)",17.061667,-89.611667
"Tortuguero, El",,TRT,"Mexiko, Tabasco (MX-TAB)",17.686038,-92.569127
