Estado,Biblioteca,Dirección,Perfil de Acervo
Oaxaca,Biblioteca del  Centro de Documentación e Investigación sobre el manejo de Sitios Arqueológicos del Patrimonio Mundial. Zona Arqueológica de Monte Albán      ,"Reforma No. 501, Esq. Constitución, Centro Cultural Santo Domingo, Sala VII, Col. Centro, C.P. 68000, Oaxaca, Oax",
Puebla,Biblioteca del Centro INAH Puebla ,"Av. Ejércitos de Oriente S/N, Centro Cívico 5 de Mayo, Los Fuertes, C.P. 72270, Puebla, Puebla.",
Querétaro,Biblioteca “Ana María Crespo Oviedo” del Centro INAH Querétaro ,"Andrés Balvanera No. 2, Col. Centro Histórico, C.P. 76000, Querétaro, Qro.",
Quintana Roo,Biblioteca del Centro INAH Quintana Roo,"Av. Insurgentes No. 974, Col. Forjadores, C.P. 77025, Chetumal, Quintana Roo.",General
San Luis Potosi,Biblioteca “Manuel Muro” del Museo Regional Potosino  ---   Consultar catálogo en línea,"Plaza Aranzazu s/n, Zona Centro, C. P. 78000, San Luis Potosi, San Luis Potosi.","Antropologia, Arqueologia e Historia"
San Luis Potosi,Biblioteca del Centro INAH San Luis Potosí,"Arista No. 933, Barrio de Tequisquiapan, C. P. 78230, San Luis Potosi, San Luis Potosi.",El material de consulta es unicamente para investigadores del INAH
Sinaloa,Biblioteca del Centro INAH Sinaloa ,"Ángel Flores No. 154 Ote., Col. Centro, C. P. 80000, Culiacán, Sinaloa.",
Sonora,Biblioteca “Ernesto López Yescas” del Centro INAH Sonora,"Jesus Garcia Final y Esteban Sarmiento s/n, Planta Alta de la Antigua Penitenciaria, Col. La Matanza, C.P. 83080, Hermosillo, Sonora.","Antropologia e Historia, Restauracion y Conservacion de bienes muebles, Colecciones Etnograficas y del Museo de Sonora"
Tabasco,Biblioteca “Dra. Rosario M. Gutiérrez Eskildsen” del Centro INAH Tabasco,"Plutarco Elias Calles No. 401, Esq. Obrero Mundial, Col. Jesus Garcia, C. P. 86040, Villahermosa, Tabasco","Arqueologia, Antropologia e Historia"
Tamaulipas,"Biblioteca ""Lic. Juan Fidel Zorrilla"" del Centro INAH Tamaulipas","Calzada General Luis Caballero No. 1552, Ex Hda. Tamatan, C. P. 87060, Ciudad Victoria, Tamaulipas.","Historia Regional de Tamaulipas, Nuevo Leon, Coahuila y Texas, asi como publicaciones del Instituto Nacional de Antropologia e Historia"
Tlaxcala,"Biblioteca “Dr. Andrés Angulo Ramírez”, Museo Regional INAH Tlaxcala   ---   Consultar catálogo en línea","Ex-Convento de San Francisco S/N, Col. Centro, C.P. 90000, Tlaxcala, Tlaxcala.","Antropologia, Historia e Informacion Regional"
Veracruz,Biblioteca “José García Payón” del Centro INAH Veracruz,":Calle Benito Juarez No. 425-431, entre Madero e Hidalgo, Col. Centro, C.P. 91700, Veracruz, Veracruz."," Arqueologia, Antropologia, Historia, Etnologia, Etnografia, Arquitectura y Lingüistica, monumentos historicos"
Yucatan,Biblioteca del Centro INAH Yucatán   ---  Consultar catálogo en línea,"Km. 6.5 de la Antigua Carretera a Progreso S/N, C.P. 97310, Merida, Yucatan.","Historia, Arqueologia y Antropologia"
Zacatecas,"Biblioteca ""Camino Real de Tierra Adentro"" Ubicada dentro del Museo de Guadalupe, Centro INAH Zacatecas   ---  Consultar catálogo en línea","Jardin Juarez Oriente s/n, Col. Centro, Guadalupe, Zacatecas.","Antropologia e Historia, principalmente sobre el estado de Zacatecas y el Camino Real"
